entname,PERSON_PMS_002,COM_CICI_035,COM_CICI_037,LRB_020,LRB_007,LRB_001,LRB_022,LRB_011,LRB_013,LRB_009,TAX_TW_015,TAX_TW_016,TAX_TW_017,TAX_TW_001,TAX_TW_024,TAX_TW_004,TAX_TW_003,TAX_TW_018,TAX_TW_025,TAX_TW_019,TAX_TW_020,TAX_TW_027,TAX_TW_022,TAX_TW_023,OPT_ARCSS_001,DWSBJN_002,DEBT_DMP_021,DEBT_DMP_025,NSDJ_016,TAX_TW_009,TAX_TW_028,JUSTICE_JNP_023,JUSTICE_JNP_024,JUSTICE_JNP_025,JUSTICE_JNP_026,JUSTICE_JNP_027,JUSTICE_JNP_028,JUSTICE_JNP_029,JUSTICE_JNP_030,JUSTICE_JNP_031,JNSHJXYHB_002,JNSHJXYYBMD_002,JUSTICE_JE_009,JUSTICE_JNP_022,SHTZXY_002,LRB_002,LRB_004,LRB_021,LRB_023,COM_CIBI_006,COM_CIBI_033,XWQY_001,TAX_TW_029,TAX_TW_030,COM_CIBI_002,LRB_024,LRB_025,LRB_026,ZCFZB_034,TAX_TW_031,DL_002
6,2,0,0,-0.390568,-0.009677,2,312.22,31754119.63,1800.04,-307288.97,1666,2929,4639,30775.68,15.39,40063.34,-0.381040902,1662,1662,2691,4315,8186,23678,9509,3495.72,4,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000057,-0.009677,-0.009869,370.56,4.17,2,0,38,35,5200,50.3,21.92,-0.78,0.75,0.28,0
306,2,2,0,-0.709793,0.02348,1.95,37.36,20694231.77,608421.51,461604.29,1262,862,617,740734.63,43.04,1483881.97,-0.628573015,1258,1258,813,550,11152,7626,18611,52816.22,44,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029401,0.022306,0.035752,461604.29,18.25,1,1,99,71,500,-2.89,-2.25,-2.12,7.8,-1.74,0
308,1,0,0,0.670427,0.029479,1.750538,247.52,137097736.6,-19345.72,3033282.54,1130,614,756,1320874.2,73.53,561464.295,0.14267966,1126,1126,998,1277,11152,229,278,4009.67,4,0,0,2,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000141,0.022125,0.023017,3033282.54,3.75,1,1,61,69,0,5.89,6.75,2.09,6.4,1.61,0
313,2,0,0,5.013118,0.002983,1.95,169.72,17260946.61,5784.58,48916.73,1146,1506,2219,131600.81,35.65,91305.905,1.53312015,1144,1144,1382,1980,8186,5911,7411,6969.28,8,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000335,0.002834,0.003099,-58.99,4.17,1,1,17,34,300,9,7.08,10.02,5.56,3.89,0
336,1,1,1,0.623676,0.299824,1.913596,480.93,46028790.25,148219.29,12608118.49,501,436,516,2383230.88,257.99,1394609.705,0.103601243,499,499,503,549,2617,226,316,139189.68,159,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00322,0.273918,0.458372,-12608.12,11.25,2,1,38,35,0,-0.35,0.63,1.31,0.3,1.23,0
382,1,0,0,-0.90461,0.000445,-76.399119,1398.42,142226131.3,-1126.82,-4902364.2,135,97,105,3523023,956.1,4091538.405,-0.270559565,133,133,67,64,8186,348,439,2750.32,3,0,0,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000008,-0.034469,-0.034814,5911.8,3.75,2,1,80,60,0,-0.78,0.23,-21.74,2.5,0.49,0
588,2,0,0,-1.222669,0.00119,2,32.36,6344216.66,696.93,7549.99,5495,6808,8793,15745.9,2.09,7874.55,4919.59375,5489,5489,6569,8471,9032,17919,20875,10453.92,12,0,0,2,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011,0.00119,0.001381,-5.19,4,1,1,113,32,600,0.14,1.1,-2.77,1.44,16965.1,0
595,3,0,0,-26.883776,0.169063,2.000529,473.94,66687507.79,5596.46,11280331.43,38,175,285,1013867.17,284.84,751530.935,1.072522801,36,36,146,246,7378,15599,2262,80701.95,58,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000084,0.169152,0.243491,-11059.15,9.58,2,1,108,70,1000,0.91,1.81,-54.9,25.5,3.82,0
603,3,2,0,-1.011621,0.000134,2,182.18,100907442.1,1088237.9,13501.5,685,637,642,1360021.11,93.07,1537970.145,-0.207409576,679,679,592,596,11152,16895,1425,156606.18,178,0,0,2,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010785,0.000134,0.00016,13501.5,6.67,1,1,50,43,6000,2.11,3.25,-3.16,4.4,0.09,0
607,2,0,0,8.428527,-0.300942,2.000036,3.44,843368.37,13326.8,-253813.94,13417,11398,10365,10404.63,1.7,55413.12,-0.897435925,13409,13409,10947,9845,35784,70038,22281,3538.08,4,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015802,-0.300953,-0.360802,404.22,22.5,1,1,45,76,600,-4.18,-4,19.77,-3.78,-1.9,0
631,2,0,0,-1.087099,-0.020292,2,6.84,1674996.49,22147.86,-33989.1,13563,6704,7628,123336.81,20.57,84261.91,0.647554372,13555,13555,6374,8146,35784,70038,3804,2653.56,3,0,0,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013223,-0.020292,-0.024499,54.13,5.17,1,1,61,69,500,-3.82,-3.5,-2.73,-4.89,3.1,0
633,2,0,0,0.010889,0.019973,1.95,7.25,1775212.82,2328.91,33683.59,15974,27666,29218,9374.43,1.54,9381.245,-0.232632497,15964,15964,28155,29974,35784,13648,16257,871.16,1,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001312,0.018974,0.019972,-53.64,6.83,1,1,83,32,1000,-0.94,0.12,0.02,0.56,0.26,0
647,2,0,0,0.37788,-0.000033,-183.170181,161.67,39597817.1,225707.54,237586.9,6221,8866,9283,72188.65,16.32,62451.49,0.042523448,6215,6215,9204,9788,35784,4311,5102,1742.32,2,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057,0.006,0.006235,-378.38,5.67,2,1,93,41,300,0.94,1.88,0.8,4.56,1.13,0
649,3,0,0,1.132303,0.18814,1.922234,108.94,11079809.22,-2697.29,1922445.78,384,460,504,827370.26,231.18,650304.435,0.391925031,382,382,400,448,8186,384,484,120883.28,45,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000243,0.173509,0.366466,-2318.29,16.25,1,1,61,69,301,-0.59,0.38,2.14,3.56,1.74,0
673,2,0,0,-0.224307,0.013263,1.95,46.81,11466122.25,1105.38,144466.5,5744,9798,11506,58809.84,9.8,47652.7,0.231308958,5737,5737,9987,11660,35784,5483,7854,7887.15,9,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000096,0.012599,0.013813,-230.08,6.08,1,1,61,69,1000,4.12,4.62,-0.55,-2.44,1.74,0
675,4,1,0,-0.792791,-0.07451,2,12.89,3156055.98,-896.85,-235157.14,34829,19658,21621,21211.46,3.65,21607.725,-0.036017559,34828,34828,18979,20664,35784,70038,82175,31265.5,35,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000284,-0.07451,-0.392854,374.51,5.5,1,1,27,7,600,30.35,19,-1.98,-34.44,0.87,0
694,2,0,0,-0.975775,-0.001078,2,4.26,834688.64,699.06,-900,5674,10404,11121,2808.63,0.37,3115.645,-0.179401401,5668,5668,10086,10837,9032,17919,7987,1742.32,2,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000838,-0.001078,-0.001317,0.62,5.42,1,1,61,69,500,-0.21,0.8,-2.23,-7.67,0.38,0
700,2,0,0,49.860157,-0.499962,2,3.99,561807.09,749,-280882.34,7340,8275,10498,1125.24,0.22,1989.805,-0.605783413,7340,7340,8011,10170,7378,15599,18537,1735.42,2,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001333,-0.499962,-4.025845,275.37,4.5,2,1,59,34,1200,13,8.94,101.76,7481,-0.61,0
712,3,0,0,1.071481,-0.050826,2,3.99,561373.14,340.93,-28532.45,4586,11848,11231,313.45,0.06,1068.375,-0.828086437,4580,4580,11176,10875,7378,15599,18537,867.71,1,0,0,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000607,-0.050826,-0.448888,27.97,6.17,1,1,46,42,800,0.46,1.44,2.18,53,-1.18,0
717,2,0,0,-1.035913,-0.012318,2,3.19,780680.68,-0.7,-9616.2,5145,11908,6703,54558.87,8.9,74463.225,-0.421847312,5137,5137,11441,6241,35784,70038,82175,813.99,3,0,0,2,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000001,-0.012318,-0.01519,15.31,6.42,1,1,66,33,5000,-1.41,-0.38,-2.6,-8.56,-0.35,0
718,3,0,0,-1.272669,0.055778,2,63.73,25413388.76,5969.9,1417498.4,8696,8024,1615,32848.1,4.16,78156.44,-0.733947608,8696,8696,7776,1569,8705,25715,2255,13233.45,15,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000235,0.055778,0.063699,-2362.5,7.75,2,1,59,34,1002,0.19,1.14,-2.44,19.6,-0.97,0
719,2,0,0,5.608721,-0.077407,2.019765,35.21,14038488.63,321782.57,-1108158.16,4581,3568,1855,85566.92,10.61,236233.01,-0.781221429,4574,4574,3445,1793,8705,25715,4746,32074.98,34,0,0,1,1,18,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0.022921,-0.078937,-0.094538,1846.93,10.42,2,1,96,53,5000,-1.35,-0.41,9.92,12.4,-1.11,0
721,2,0,0,0.4788,0.01203,1.95,202.81,20626576.15,86.27,235739.08,220,397,551,991061.72,271.43,659940.78,1.943518322,218,218,327,470,8186,1456,2720,47042.64,54,0,0,2,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000004,0.011429,0.021166,-284.28,6.33,2,1,66,33,1000,6.89,5.92,0.86,-10,4.66,0
722,2,0,0,0.422705,0.100731,1.95,34.89,8545086.6,59741.96,817717.76,2844,5163,6352,76766.83,12.69,105519.99,-0.540942399,2838,2838,5891,6657,35784,1519,3471,2131.16,2,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006991,0.095694,0.110698,-1302.3,5.67,1,1,61,69,1000,0.41,1.38,1.05,-7.33,-0.74,0
728,2,0,0,0.616454,-0.259736,2,52.83,12939649.39,4906.18,-3360890.41,5314,3540,5024,109699.87,18.78,163426.99,-0.494829409,5306,5306,3369,4707,35784,70038,82175,25624.04,25,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000379,-0.259736,-0.377996,5352.55,3.83,2,0,64,73,1000,0.12,1.12,1.55,6.89,-0.58,0
801,3,0,0,0.773614,0.007216,2,90.04,35902911.23,95047.82,259079.62,2674,1009,1463,789205.99,97.79,416883.31,16.71083555,2671,2671,957,1393,8705,25715,28782,28368.52,31,0,0,2,1,16,0,1,3,3,3,3,3,3,3,0,1,0,1,0,0.002647,0.007216,0.007756,-431.8,6.17,2,1,77,26,5168,-1.29,-0.32,1.48,-8.2,46.16,0
863,3,0,0,-0.800968,0.00421,1.95,32.9,18221054.95,26680.41,72874.83,1800,1840,1654,265746.68,15.41,336730.725,-0.378072032,1797,1797,1787,1590,11152,2956,1612,15061.35,12,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001464,0.003999,0.004338,72874.83,19.08,1,1,71,4,8000,-4.44,-4.25,-2.5,8.6,-0.65,0
879,2,0,0,0.966265,-0.405483,2,0.69,384105.29,312.31,-155748.16,6484,9824,11420,4317.06,0.24,3849.92,0.276187041,6473,6473,9635,11171,11152,16895,18602,876.35,1,0,0,2,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000813,-0.405483,-0.42125,-155748.16,4.83,1,1,58,51,1000,35.89,27,3.03,1.6,2.22,0
880,2,0,0,-0.911886,0.005466,1.946025,1.63,905427.66,-458.94,4681.53,6805,9383,8848,4756.45,0.26,10390.605,-0.763892115,6794,6794,9285,9082,11152,6288,4027,1761.14,2,0,0,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000507,0.005171,0.005886,4681.53,4.25,1,1,62,48,300,-7.56,-9,-2.84,17.6,-2.3,0
882,2,3,1,-2.435139,0.003321,2,21.37,4188733.7,-43.25,13912.41,1293,1925,1753,117086.54,15.55,124808.13,-0.121910397,1291,1291,1819,1622,9032,6719,5693,1735.42,2,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00001,0.003321,0.003614,-9.56,4.17,1,1,62,48,5000,-0.12,0.9,-5.5,-4.22,0.59,0
884,2,0,0,-3.121385,-0.159612,2,22.29,3135749.82,249449.05,-500503.62,3065,1421,1786,10693.19,2.05,74946.155,-0.923180621,3059,3059,1345,1670,7378,15599,18537,11527.91,13,0,0,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07955,-0.159612,-0.201733,490.69,14.42,1,1,113,32,301,-2.46,-1.88,-6.37,4.8,-1.42,0
899,2,0,0,-2.4452,0.030603,1.967104,18.75,7716519.88,2281.3,228383.58,2411,329,513,224015.33,17.75,116393.35,20.21041947,2411,2411,315,478,2413,771,795,6182.82,7,0,0,2,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296,0.029597,0.042099,228383.58,4.42,2,0,27,7,1000,3.15,4,-6.67,11.12,55.62,0
910,2,0,0,-4.584873,0.013268,2,25.12,6151698.58,-930.83,81621.43,34829,29849,37631,7827.87,1.58,5333.83,1.756496079,34828,34828,29040,36395,35784,70038,82175,871.16,1,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000151,0.013268,0.013578,-129.99,3.75,1,1,61,69,5000,34.29,20.62,-11.45,-92.33,6.68,0
924,2,0,0,-1.276282,-0.028079,2.056776,1.35,331151.02,-390.49,-9826.23,24460,34911,31829,2951.15,0.47,7495.07,-0.78921667,24446,24446,34547,32198,35784,22285,19244,871.16,1,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001179,-0.029673,-0.034053,15.65,5.33,1,1,93,41,300,-5.35,-6.12,-3.27,-695.56,-1.55,0
925,2,0,0,-11.587803,0.004241,2,33.47,6562148.6,76223.71,27827.71,1757,1632,1739,133261.54,39.79,121822.915,0.207250959,1753,1753,1537,1601,9032,17919,20875,12504.8,14,0,0,1,1,17,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0.011616,0.004241,0.005232,-19.11,10.42,2,1,34,1,1060,-0.23,0.75,-26.34,-0.67,1.72,0
