a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62,a63,a64,a65,a66,a67,a68,a69,a70,a71,a72,a73,a74,a75,a76,a77,a78,a79,a80,a81,a82,a83,a84,a85,a86,a87,a88,a89,a90,a91,a92,a93,a94,a95,a96,a97,a98,a99,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99
0.033041172,0.039652802,0.338760291,0.115732215,0.117441992,0.146275239,0.111073484,0.178969548,0.079672043,0.117441992,0.057716676,0.150726286,0.10965483,0.075934799,0.123170333,0.068295271,0.178969548,0.104516474,0.150726286,0.063099592,0.085862614,0.161942027,0.130091646,0.082623823,0.095226027,0.053338809,0.067896064,0.150726286,0.085862614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325030468,0.068694325,0.02578798,0.072286756,0.177489097,0.073673095,0.065006094,0.068694325,0.06234405,0.026798041,0.027598776,0.066836463,0.041511459,0.029261313,0.037197713,0.053258776,0.053258776,0.031403032,0.094466178,0.101842641,0.040058528,0.022171562,0.021294604,0.031172025,0.017396195,0.059807823,0.057365691,0.037952078,0.020573582,0.033418231,0.03187792,0.03187792,0.034263846,0.034860257,0.022871036,0.024261814,0.023235625,0.033693952,0.018540184,0.029196145,0.037952078,0.047233089,0.032883966,0.022751775,0.035485772,0.0351692,0.054609552,0.01478801,0.017793147,0.022871036,0.04572305,0.035810359,0.057831532,0.029867119,0.04572305,0.048060506,0.068694325,0.057831532,0.062145279,0.04645585,0.044372274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.014161715,0,0,0,0,0,0,0,0,0.020613099,0,0.039162439,0,0,0,0,0,0,0,0.030665219,0,0,0,0.034009295,0,0,0,0,0,0.023830841,0.046943112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025597745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015579088,0.036505968,0.055665944,0.051839031,0.044757721,0.028454301,0.032787222,0.053830816,0.026940549,0.023036896,0.027485901,0.189656766,0.031679003,0.027673381,0.034335474,0.053830816,0.03776026,0.049584686,0.048450041,0.031946537,0.02482943,0.094828383,0.018867819,0.034335474,0.033691816,0.021821068,0.015043953,0.035737653,0.041332934,0.03820955,0,0,0,0,0.041699246,0,0,0,0,0.025183701,0,0,0,0.027498583,0,0,0,0,0,0,0,0,0.020011797,0,0.032696463,0,0.08086489,0,0,0.157025425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013897166,0.050163812,0,0.042968649,0,0,0,0,0,0,0,0,0,0,0.239268856,0.050050416,0.058401587,0.04055093,0.064556113,0.061090064,0.028871405,0.030659598,0.047853771,0.037222576,0.032476741,0.048902101,0.032199759,0.044387722,0.05131982,0.054347705,0.062302859,0.044387722,0.033050573,0.046889401,0.122180128,0.052738893,0.028462953,0.050050416,0.017915137,0.042968649,0.052200246,0.024996904,0.03428737,0.02864847,0.029732357,0.02787512,0.037645363,0.031664196,0.01718472,0.014139349,0.064556113,0.058401587,0.046889401
0.012547281,0,0,0,0,0,0,0.067963119,0,0,0.021917725,0,0,0,0.093547089,0,0,0,0,0,0,0,0,0.06275227,0.108485347,0,0.025783316,0,0,0,0,0,0,0,0,0,0,0.027217856,0,0,0,0,0,0,0,0,0.031612744,0.027217856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051516499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058849722,0,0,0,0,0,0.03396847,0.026400913,0,0.020061985,0,0,0.023202149,0,0,0,0,0,0,0,0,0,0.02685281,0.04738762,0,0,0.019535021,0,0.024360954,0.09078207,0,0,0,0,0.02289193,0.068863195,0,0,0,0,0,0.025362677,0,0,0,0,0.048721908,0,0,0,0,0,0,0,0,0,0.010641586,0,0,0,0.016585406,0,0.025637361,0.039808833,0,0.012970705,0.016672344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023782679,0,0.028873587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029201543,0.024561946,0.013330203,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.026234853,0,0,0,0.055986515,0,0,0,0,0,0,0,0,0.037556283,0.086569116,0.024244913,0.030861847,0,0,0,0,0.01991526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036214565,0,0,0,0,0,0,0,0,0,0,0,0,0.017567137,0,0,0,0.035709468,0,0,0,0,0,0.032988474,0,0,0,0,0,0,0,0,0,0.035220667,0,0,0.048058513,0,0,0.040659229,0,0,0.024013588,0,0,0,0,0.045484285,0,0,0,0,0,0,0.072104945,0.05985939,0,0,0,0.021773408,0.044848012,0.054304626,0.067456121,0.047549633,0,0,0,0.051029926,0,0,0,0,0,0,0,0,0,0,0.033432071,0,0,0,0,0,0,0,0,0,0,0,0,0.076753769,0,0,0,0,0,0,0.057827727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514122,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.079338203,0,0,0,0,0,0,0,0,0,0,0.074654624,0,0,0.061330439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126716011,0,0,0.091158128,0,0.077352926,0,0,0,0.03271306,0,0,0,0,0,0,0.185845208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056908602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020501948,0,0,0.04347395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015283232,0,0,0,0,0,0,0.018023062,0,0,0,0.021688565,0,0.035087437,0,0.016901318,0,0,0,0,0.066088831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022499287,0,0,0,0,0,0,0,0,0,0.119031053,0,0,0,0,0,0
0.01152599,0,0,0,0,0,0,0,0.027792573,0,0.020133724,0,0,0,0,0.023823932,0,0,0,0,0,0,0,0.028822264,0.066436763,0,0,0,0,0,0.023276635,0,0,0,0,0,0,0.025002449,0,0,0.027029814,0,0.089038172,0,0,0,0,0,0,0,0,0,0,0.020762413,0,0,0,0,0.047323296,0,0,0,0,0,0,0,0,0,0.02003217,0,0,0,0,0.050633472,0.043716843,0.055585146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024252001,0,0,0,0,0,0.014694093,0,0,0,0,0,0,0.022374472,0,0,0,0,0,0.008294632,0,0.041374953,0,0.054342438,0.046054311,0,0,0,0,0,0,0.027450505,0,0,0,0,0,0.023494144,0,0.06206243,0,0,0,0,0,0,0.014383958,0,0,0.018073804,0,0,0,0,0,0,0,0.027463446,0.011014805,0.01415826,0,0,0,0,0,0.029751742,0,0,0,0.028758383,0,0,0,0,0,0,0,0,0,0,0,0.021393409,0,0.021210953,0,0,0,0,0,0,0,0,0,0,0,0.035403723,0,0,0,0,0,0,0,0,0.020858161,0.011320093,0.009314015,0,0,0
0,0.018882287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084477341,0,0,0,0,0,0,0.039641378,0,0,0,0,0,0,0,0.110221157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036897841,0.045780632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023599109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040341141,0,0,0,0.026234424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112268235,0,0.090866877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.022444982,0,0,0,0.082797305,0,0,0.045097383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046768202,0.10780305,0,0,0,0,0,0,0.049600269,0,0,0.039117916,0,0,0.040570012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021876057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087719396,0.054418487,0,0,0,0,0,0.039352304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134912243,0,0,0,0,0.170099755,0,0,0,0,0.023069154,0.033769694,0.018845878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020085199,0,0,0,0,0,0,0,0,0.032040687,0.096379545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035343703,0,0,0,0,0,0,0,0,0,0.05116918,0.038099967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067324052,0
0,0,0,0,0,0,0,0,0,0,0.026234853,0,0,0,0.055986515,0,0,0,0,0,0,0,0,0.037556283,0.086569116,0.024244913,0.030861847,0,0,0,0,0.01991526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036214565,0,0,0,0,0,0,0,0,0,0,0,0,0.017567137,0,0,0,0.035709468,0,0,0,0,0,0.032988474,0,0,0,0,0,0,0,0,0,0.035220667,0,0,0.048058513,0,0,0.040659229,0,0,0.024013588,0,0,0,0,0.045484285,0,0,0,0,0,0,0.072104945,0.05985939,0,0,0,0.021773408,0.044848012,0.054304626,0.067456121,0.047549633,0,0,0,0.051029926,0,0,0,0,0,0,0,0,0,0,0.033432071,0,0,0,0,0,0,0,0,0,0,0,0,0.076753769,0,0,0,0,0,0,0.057827727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514122,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043548531,0,0,0,0,0,0,0,0,0,0,0.035776089,0,0.083407942,0.054766964,0,0,0,0.080116105,0.068853186,0.059728073,0,0.036958837,0,0,0,0.036062468,0,0,0.069372411,0,0.019082618,0,0,0.027178322,0,0,0,0,0,0.055316557,0,0,0,0,0,0.016103209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040058053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025127838,0,0,0,0,0.048270779,0,0,0,0.050353704,0,0,0,0,0,0.04217221,0,0,0,0.032863675,0,0.101599911,0,0,0.025701212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057862318,0,0,0,0,0,0
